"Sexe","Annee","Mention","Naissance...Age","Bourse","Régime.d.inscription..lib..long.","Bac.ou.équivalence..lib..long.","Série.de.bac","w_sexe","w_annee","w_mention","Poids_Final","X36..ChatGPT","X37..DeepL","X38..Copilot","X39..Grammarly","X40..Perplexity","X41..Autre","X43..RS_PN_IA_bes_form","X44..RP_RPT_IA_formation","X45..RP_PN_IA_usages","X46..RP_PN_IA_usages_Autre","X47..RP_PN_IA_raisons","X48..RP_PN_IA_raisons_Autre","X53..RP_PN_IALimites","X54..RP_PN_IALimites_Autre"
"M","BUT2","Génie Civil Construction Durable",19,"Non boursier","Formation initiale","Série générale","Bac général",1.31,0.82,2.28,2.44,"Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","","","","","",""
"F","BUT1","Génie Civil Construction Durable",18,"Boursier","Formation initiale","Série générale","Bac général",0.75,0.89,2.28,1.51,"Une à deux fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Moins d’une fois par mois","Vous ne la connaissez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vos enseignants interdisent leur utilisation;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT2","Génie Electrique et Informatique Industrielle",21,"Non boursier","Contrat d'apprentissage","0021-bacs professionnels industriels","Bac pro",1.31,0.82,0.51,0.55,"Tous les jours ou presque","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Oui","Oui : apprendre à utiliser ces outils fait l’objet de cours spécifiques dans votre formation;Oui, de votre propre initiative, en consultant des ressources sur le sujet","Concevoir des supports visuels (infographies, schémas, présentations);Trouver des explications sur un concept scientifique ou technique","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous n’avez pas besoin;Vous ne savez pas très bien vous en servir",""
"M","BUT1","Génie Electrique et Informatique Industrielle",19,"Boursier","Formation initiale","STI2D-Sc&techno indust & develop. durabl","Bac techno hors gestion",1.31,0.89,0.51,0.6,"Vous ne la connaissez pas","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Vous maintenir à niveau car tout le monde l’utilise","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Formation initiale","Série générale","Bac général",1.31,0.82,0.51,0.55,"Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous n’avez pas besoin;Vous craignez de devenir dépendant",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Contrat d'apprentissage","Série générale","Bac général",1.31,0.82,0.51,0.55,"Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique","","Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous préférez faire les choses par vous-même;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous considérez que c’est une forme de triche",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Formation initiale","Série générale","Bac général",1.31,0.82,0.51,0.55,"Moins d’une fois par mois","Vous ne l'utilisez pas","Moins d’une fois par mois","Vous ne l'utilisez pas","Une à deux fois par mois","Une à deux fois par mois","Non","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Concevoir ou optimiser un modèle / prototype / protocole","","Gagner du temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous considérez que c’est une forme de triche",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Autre","Toléré et conseillé parfois"
"M","BUT1","Génie Electrique et Informatique Industrielle",18,"Boursier","Formation initiale","Série générale","Bac général",1.31,0.89,0.51,0.6,"Vous ne l'utilisez pas","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz;Vous maintenir à niveau car tout le monde l’utilise","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"M","BUT1","Génie Electrique et Informatique Industrielle",18,"Boursier","Formation initiale","STI2D-Sc&techno indust & develop. durabl","Bac techno hors gestion",1.31,0.89,0.51,0.6,"Moins d’une fois par mois","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par mois","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Trouver des explications sur un concept scientifique ou technique","","Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Autre","Vérifier que ce que j'ai écrit et juste"
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Contrat d'apprentissage","0021-bacs professionnels industriels","Bac pro",1.31,1.76,0.51,1.18,"Vous ne l'utilisez pas","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer des images ou des vidéos","","Gagner du temps;Vous maintenir à niveau car tout le monde l’utilise","","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vos enseignants interdisent leur utilisation;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT2","Génie Electrique et Informatique Industrielle",18,"Non boursier","Contrat d'apprentissage","Série générale","Bac général",1.31,0.82,0.51,0.55,"Une à deux fois par semaine","Une à deux fois par mois","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Oui","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Trouver des explications sur un concept scientifique ou technique;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Contrat d'apprentissage","0031-titre étranger admis en équivalence","Titre admis en équivalence",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Vous ne l'utilisez pas","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Non","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps","","Gagner du temps","","Vous êtes préoccupé par les conséquences environnementales;Vous craignez de devenir dépendant",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz;Vous maintenir à niveau car tout le monde l’utilise","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Formation initiale","Série générale","Bac général",1.31,0.82,0.51,0.55,"","","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Moins d’une fois par mois","Non","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport","","Gagner du temps","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Contrat d'apprentissage","Série générale","Bac général",1.31,0.82,0.51,0.55,"Tous les jours ou presque","Moins d’une fois par mois","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","","","Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps","","Vous craignez pour la confidentialité des données;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche",""
"M","BUT3","Génie Electrique et Informatique Industrielle",22,"Boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Tous les jours ou presque","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous maintenir à niveau car tout le monde l’utilise","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT2","Génie Electrique et Informatique Industrielle",22,"Non boursier","Contrat d'apprentissage","Série générale","Bac général",0.75,0.82,0.51,0.31,"Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Trouver des explications sur un concept scientifique ou technique","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Vous préférez faire les choses par vous-même;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT1","Génie Electrique et Informatique Industrielle",19,"Non boursier","Formation initiale","STI2D-Sc&techno indust & develop. durabl","Bac techno hors gestion",1.31,0.89,0.51,0.6,"Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Oui","Oui : apprendre à utiliser ces outils fait l’objet de cours spécifiques dans votre formation","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..","","",""
"M","BUT2","Génie Electrique et Informatique Industrielle",26,"Non boursier","Contrat d'apprentissage","S-sp. physique chimie","Bac général",1.31,0.82,0.51,0.55,"Une à deux fois par semaine","Une à deux fois par semaine","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Non","Oui, de votre propre initiative, en consultant des ressources sur le sujet","Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail","","Vous êtes préoccupé par les conséquences sociales et économiques",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Formation initiale","0031-titre étranger admis en équivalence","Titre admis en équivalence",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Une à deux fois par mois","Moins d’une fois par mois","Une à deux fois par mois","Vous ne la connaissez pas","Une à deux fois par semaine","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous craignez de devenir dépendant",""
"F","BUT2","Génie Electrique et Informatique Industrielle",20,"Non boursier","Contrat d'apprentissage","0031-titre étranger admis en équivalence","Titre admis en équivalence",0.75,0.82,0.51,0.31,"Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Moins d’une fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez d’être accusé de triche",""
"M","BUT2","Génie Electrique et Informatique Industrielle",19,"Non boursier","Formation initiale","STI2D-Sc&techno indust & develop. durabl","Bac techno hors gestion",1.31,0.82,0.51,0.55,"Tous les jours ou presque","Vous ne la connaissez pas","Tous les jours ou presque","Tous les jours ou presque","Tous les jours ou presque","Vous ne la connaissez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Planifier votre travail ou organiser votre emploi du temps","","Gagner du temps;Autre","","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Une à deux fois par mois","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous maintenir à niveau car tout le monde l’utilise","","Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"M","BUT2","Génie Electrique et Informatique Industrielle",20,"Non boursier","Contrat d'apprentissage","Série générale","Bac général",1.31,0.82,0.51,0.55,"Tous les jours ou presque","Moins d’une fois par mois","Une à deux fois par mois","Vous ne l'utilisez pas","Une à deux fois par mois","Moins d’une fois par mois","Oui","Oui :  un ou des membres de l’équipe pédagogique vous forment à l’usage de ces outils sans que ce soit des cours spécifiques","Trouver des explications sur un concept scientifique ou technique","","Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous êtes préoccupé par les conséquences sociales et économiques;Vous considérez que c’est une forme de triche",""
"M","BUT1","Génie Electrique et Informatique Industrielle",18,"Non boursier","Formation initiale","STI2D-Sc&techno indust & develop. durabl","Bac techno hors gestion",1.31,0.89,0.51,0.6,"Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Autre","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT3","Génie Electrique et Informatique Industrielle",20,"Non boursier","Formation initiale","Série générale","Bac général",1.31,1.76,0.51,1.18,"Tous les jours ou presque","Une à deux fois par mois","Moins d’une fois par mois","Vous ne la connaissez pas","Moins d’une fois par mois","Tous les jours ou presque","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..","","Vous craignez pour la confidentialité des données;Vous craignez de devenir dépendant",""
"M","BUT1","Génie Mécanique et Productique",18,"Non boursier","Formation initiale","Série générale","Bac général",1.31,0.89,2.01,2.34,"Tous les jours ou presque","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par semaine","Oui","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"M","BUT1","Génie Mécanique et Productique",19,"Non boursier","Formation initiale","0021-bacs professionnels industriels","Bac pro",1.31,0.89,2.01,2.34,"Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Non","Non, vous n’avez pas reçu de formation ou vous n'en avez pas suivi vous-même","Autre","Non","Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous craignez de devenir dépendant",""
